"Name","Modified Time","Change Time","Access Time","Created Time","Size","Flags(Dir)","Flags(Meta)","Known","Location","MD5 Hash","MIME Type","Extension"
"wincredprovider.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/wincredprovider.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"WindowsCodecs.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/WindowsCodecs.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"WindowsCodecsExt.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/WindowsCodecsExt.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"wininet.dll","2010-11-20 22:24:08 COT","2015-03-23 15:15:16 COT","2010-11-20 22:24:08 COT","2010-11-20 22:24:08 COT","980992","Unallocated","Allocated","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/wininet.dll","44214c94911c7cfb1d52cb64d5e8368d","application/x-msdownload","dll"
"wlanext.exe","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/wlanext.exe","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","exe"
"wmdrmdev.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/wmdrmdev.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"wmpsrcwp.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/wmpsrcwp.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"WPDSp.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/WPDSp.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"wship6.dll","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/wship6.dll","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","dll"
"WSTPager.ax","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/SysWOW64/WSTPager.ax","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","ax"
"TS_FFB3.tmp","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/Temp/TS_FFB3.tmp","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","tmp"
"TMP000002BD208F9B1C879354C0","2015-03-25 09:58:37 COT","2015-03-25 09:58:37 COT","2015-03-25 09:58:37 COT","2015-03-25 09:58:37 COT","524288","Unallocated","Unallocated","unknown","/img_Practica1.dd/vol_vol3/Windows/Temp/TMP000002BD208F9B1C879354C0","59071590099d21dd439896592338bf95","application/octet-stream",""
"amd64_adpu320.inf_31bf3856ad364e35_6.1.7600.16385_none_f4a210f475e000bb","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/winsxs/amd64_adpu320.inf_31bf3856ad364e35_6.1.7600.16385_none_f4a210f475e000bb","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream",""
"amd64_angel64.inf_31bf3856ad364e35_6.1.7600.16385_none_56f2fed0f57bbc5f","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/winsxs/amd64_angel64.inf_31bf3856ad364e35_6.1.7600.16385_none_56f2fed0f57bbc5f","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream",""
"amd64_atiilhag.inf.resources_31bf3856ad364e35_6.1.7600.16385_en-us_a84b3670179ab5eb","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/winsxs/amd64_atiilhag.inf.resources_31bf3856ad364e35_6.1.7600.16385_en-us_a84b3670179ab5eb","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream",""
"amd64_averfx2swtv_x64.inf_31bf3856ad364e35_6.1.7600.16385_none_fedee0b0e2af1d43","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/winsxs/amd64_averfx2swtv_x64.inf_31bf3856ad364e35_6.1.7600.16385_none_fedee0b0e2af1d43","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream",""
"amd64_blbdrive.inf.resources_31bf3856ad364e35_6.1.7600.16385_en-us_53dd38a4cf5b020e","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/winsxs/amd64_blbdrive.inf.resources_31bf3856ad364e35_6.1.7600.16385_en-us_53dd38a4cf5b020e","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream",""
"amd64_brmfcumd.inf_31bf3856ad364e35_6.1.7600.16385_none_82533c9760ae3cbc","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/winsxs/amd64_brmfcumd.inf_31bf3856ad364e35_6.1.7600.16385_none_82533c9760ae3cbc","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream",""
"brmsi04f.bin","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/winsxs/amd64_brmfcwia.inf_31bf3856ad364e35_6.1.7600.16385_none_11493a3982b640b7/brmsi04f.bin","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream","bin"
"amd64_bthmtpenum.inf_31bf3856ad364e35_6.1.7600.16385_none_5becb46fada2de96","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/winsxs/amd64_bthmtpenum.inf_31bf3856ad364e35_6.1.7600.16385_none_5becb46fada2de96","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream",""
"amd64_cdrom.inf_31bf3856ad364e35_6.1.7601.17514_none_bdcf6151ba66f48b","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0","Unallocated","","unknown","/img_Practica1.dd/vol_vol3/Windows/winsxs/amd64_cdrom.inf_31bf3856ad364e35_6.1.7601.17514_none_bdcf6151ba66f48b","d41d8cd98f00b204e9800998ecf8427e","application/octet-stream",""
